YEAR,ANNUAL - MIN,ANNUAL - MAX,JAN-FEB - MIN,JAN-FEB - MAX,MAR-MAY - MIN,MAR-MAY - MAX,JUN-SEP - MIN,JUN-SEP - MAX,OCT-DEC - MIN,OCT-DEC - MAX
1988,19.33,29.55,14.07,25.39,20.72,31.75,23.17,31.34,16.33,27.76
1989,18.96,29.18,13.02,24.51,20.18,31.35,22.93,31.11,16.41,27.57
1990,19.29,29.14,13.91,25.00,20.23,30.84,23.19,31.18,16.74,27.50
1991,19.29,29.32,13.73,24.74,20.63,31.46,23.29,31.45,16.34,27.40
1992,19.15,29.23,13.57,24.60,20.07,31.32,23.15,31.28,16.62,27.49
1993,19.34,29.55,13.91,25.31,20.41,31.61,23.25,31.47,16.69,27.74
1994,19.48,29.46,14.45,25.09,20.76,31.85,23.32,31.30,16.43,27.52
1995,20.39,30.18,14.99,25.68,21.47,32.40,24.16,32.01,17.84,28.52
1996,19.55,29.58,15.28,26.30,20.93,32.07,23.29,31.19,16.24,27.29
1997,19.21,29.05,13.13,24.63,20.14,31.26,23.45,31.77,17.21,26.65
1998,19.84,29.70,14.49,24.96,20.97,31.89,23.67,31.75,17.03,27.83
1999,19.53,29.81,14.43,25.16,20.85,32.45,23.24,31.55,16.65,27.95
2000,19.48,29.75,13.84,24.82,20.77,32.22,23.25,31.25,16.88,28.53
2001,19.49,29.99,13.60,25.88,21.04,32.61,23.36,31.62,16.95,28.13
2002,19.78,30.23,13.93,25.37,21.38,33.06,23.41,32.02,16.79,28.36
2003,19.70,29.75,14.32,25.32,21.00,32.05,23.56,31.72,16.76,27.70
2004,19.69,29.79,14.39,25.47,21.30,32.69,23.27,31.42,16.84,27.65
2005,19.58,29.60,14.63,24.96,20.85,31.81,23.46,31.84,16.43,27.50
2006,20.07,30.06,15.47,27.44,20.96,32.08,23.44,31.39,17.56,27.78
2007,19.69,29.84,14.47,25.73,21.06,32.32,23.59,31.40,16.62,28.03
2008,19.60,29.64,13.60,24.72,20.82,32.11,23.30,31.25,17.43,28.29
2009,19.94,30.30,14.95,26.51,21.15,32.57,23.59,32.24,17.20,27.96
2010,20.15,30.13,14.51,25.96,22.09,33.47,23.57,31.43,17.42,27.78
2011,19.58,29.82,13.84,25.33,20.68,32.07,23.56,31.55,17.16,28.23
2012,19.54,29.81,13.68,25.03,20.78,32.33,23.68,31.77,16.80,27.88
2013,19.83,29.81,14.38,25.58,21.14,32.58,23.61,31.33,16.82,27.83
2014,19.77,29.72,14.26,24.90,20.66,31.82,23.80,32.00,17.20,27.81
2015,19.96,29.90,14.53,25.74,20.91,31.68,23.62,31.87,17.75,28.27
2016,21.28,31.63,16.17,28.33,23.15,34.57,24.61,32.28,18.37,30.03
2017,21.17,31.42,15.72,27.95,22.68,34.13,24.58,32.41,18.73,29.69
